no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
71,Leitgöb Hausverwaltung GmbH,MAIN,Günther Leitgöb,,0,,,,yes
72,RES Immobilienverwaltung GmbH,MAIN,Klaus Pfoser,http://www.res.at/,2,https://www.res.at/ | https://www.res.at/kontakt,+43181777400 | +431817774020 | +436601112424,office@res.at,yes
73,Weinberger Biletti Immobilien Graz GmbH,MAIN,Susanne Weinberger,http://www.weinberger-biletti.at/,1,https://www.weinberger-biletti.at/,+43316711116,,yes
74,Hausverwaltung Franz Dangl Gesellschaft m.b.H.,MAIN,Thomas Minten,http://www.franz-dangl-gmbh.at/,1,https://franz-dangl-gmbh.at/,,,yes
75,convival Immobilien GmbH,MAIN,Gregor Zimmel,,0,,,,yes
76,Immobilien Treuhand Hanke & Bodner KG,MAIN,Christina Elisabeth Bodner,https://www.spittaler-hausverwaltung.at/,2,https://www.spittaler-hausverwaltung.at/ | https://www.spittaler-hausverwaltung.at/impressum,+43476298236 | +434762373804,astrid.hanke@spittaler-hausverwaltung.at | christina.bodner@spittaler-hausverwaltung.at | brigitte.hattenberger@spittaler-hausverwaltung.at | christina.sagmeister@spittaler-hausverwaltung.at | dario.ostojic@spittaler-hausverwaltung.at,yes
77,LIM-MANAGEMENT GmbH,MAIN,Clemens Limberg,http://www.lim-management.at/,7,https://www.lim-management.at/ | https://www.lim-management.at/ueber-uns/ | https://www.lim-management.at/kontakt/ | https://www.lim-management.at/impressum-agb/ | https://www.lim-management.at/assets/AGB-LIM-M-final-01-2026.pdf | https://www.lim-management.at/assets/AGB-Mayr-final-01-2026.pdf | https://www.lim-management.at/assets/AGB-AW-final-01-2026-v2.pdf,+4314053333 | +436605505550,office@lim-management.at,yes
78,Sabo+Mandl & Tomaschek Immobilien GmbH,MAIN,Ferenc Sabo; Evelyn Mandl,https://www.smt-immobilien.at/,5,https://www.smt-immobilien.at/ | https://www.smt-immobilien.at/team/ | https://www.smt-immobilien.at/kontakt/ | https://www.smt-immobilien.at/impressum/ | https://www.smt-immobilien.at/downloads_und_links/,+4317200202720 | +4317200202 | +43172002020 | +431720020202,office@smt-immobilien.at,yes
79,WESIAK Gesellschaft m.b.H.,MAIN,Michael Spazierer; Matthias-Timur Jelinek,http://www.wesiak.com/,5,https://www.wesiak.com/ | https://www.wesiak.com/team | https://www.wesiak.com/ueber-uns | https://www.wesiak.com/kontakt | https://www.wesiak.com/impressum,+433168275010 | +4313360196 | +4312260073 | +43463500643 | +4366488166990 | +4331682750115 | +4331682750117 | +4331682750120 | +4331682750135 | +4366488179442 | +4331682750124,office@wesiak.com | office@wesiakwien.com | office@wesiakkaernten.com | michael.spazierer@wesiak.com | timur.jelinek@wesiak.com | lukas.neubauer@wesiak.com | astrid.stoiser-muster@wesiak.com | julia.joergler@wesiak.com,yes
80,CBRE GWS Austria GmbH,MAIN,Michael Erpelding; Felix Mathiowetz,,0,,,,yes
