no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
61,Stiller & Hohla Immobilientreuhänder GmbH,MAIN,Leo Hohla; Franz Stiller,http://www.stiller-hohla.at/,5,https://stiller-hohla.at/ | https://stiller-hohla.at/team/ | https://stiller-hohla.at/kontakt/ | https://stiller-hohla.at/impressum/ | https://stiller-hohla.at/downloads/,+4366265850 | +436626585500,,yes
62,WSE Wiener Standortentwicklung GmbH,MAIN,Josef Herwei; Andreas Meinhold,,0,,,,yes
63,Brichard Immobilien GmbH,MAIN,Oliver Brichard,http://www.brichard.at/,3,https://www.brichard.at/ | https://www.brichard.at/ueber-uns/ | https://www.brichard.at/kontakt/,+4313692450 | +4314064343 | +4315122078 | +4369910662007 | +436764915347,office@brichard.at,yes
64,Gutwerk Immobilien Treuhand GmbH,MAIN,Stefan Jaitler; Barbara Jaitler-Konya,,0,,,,yes
65,IVB-Immobilienvermarktung und Bauträger Ges.m.b.H.,MAIN,Matthias Zachs; Günter Buchinger,,0,,,,yes
66,Pusta & Partner HausverwaltungsGmbH,MAIN,Markus Pusta; Lukas Pusta-Katzian,https://www.pusta-partner.at/,2,https://pusta-partner.at/ | https://pusta-partner.at/impressum/,+4313155132,office@pusta-partner.at,yes
67,Venta Immobilien Service GmbH,MAIN,Siegbert Schützenhöfer,,0,,,,yes
68,Die Kärntner-Wohnbau und Hausverwaltungsgesellschaft m.b.H.,MAIN,Daniela Sampl-Lutz; Fabian Eder,,0,,,,yes
69,COLLIERS Immobilienverwaltung GmbH,MAIN,Philip Engel,https://www.colliers.com/de-at/dienstleistungen/property-management-services,1,https://www.colliers.com/de-at/dienstleistungen/property-management-services,+4314380090920 | +4314380090918 | +4314380090910 | +4314380090913 | +4314380090917,,yes
70,IG Immobilien Management GmbH,MAIN,Hubert Vögel; Paul Grassel,http://www.ig-immobilien.com/,0,,,,yes
