no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
31,Immobilientreuhand Kluger GmbH,MAIN,Sonja Helfer; Sabine Glösmann,,0,,,,yes
32,NV Immobilien GmbH,MAIN,Paul Fruhmann; Jürgen Narath,,0,,,,yes
33,SES Center Management GmbH,MAIN,Christoph Andexlinger,,0,,,,yes
34,Wohnbau 2000 Gesellschaft mbH,MAIN,Jörg Rigger,http://www.wohnbau2000.at/,12,https://wohnbau2000.com/ | https://wohnbau2000.com/unternehmen/team/ | https://wohnbau2000.com/ueber-uns | https://wohnbau2000.com/%C3%BCber-uns | https://wohnbau2000.com/management | https://wohnbau2000.com/geschaeftsfuehrung | https://wohnbau2000.com/gesch%C3%A4ftsf%C3%BChrung | https://wohnbau2000.com/kontakt/ | https://wohnbau2000.com/contact | https://wohnbau2000.com/impressum/ | https://wohnbau2000.com/presse/ | https://wohnbau2000.com/service-faqs/downloads/,+431092026 | +431112026 | +43732779111 | +437252424 | +436646014430 | +43676847756202 | +43676847756219,,yes
35,BOE Gebäudemanagement Gesellschaft m.b.H.,MAIN,Manfred Mayer; Karl Ispas,http://www.boe-parking.at/,2,https://www.boe-parking.at/ | https://www.boe-parking.at/impressum,+4317120438 | +43512551700 | +4312125959,office.ibk@boe.co.at | verwaltung@boe.co.at | parken@boe.co.at,yes
36,GSA Wohnbauträger GmbH,MAIN,Christian Haidinger,,0,,,,yes
37,ista Österreich GmbH,MAIN,Jan Oliver Schlodder; Friedrich Paprotka,http://www.ista.at/,1,https://www.ista.com/at/,,,yes
38,PRISMA Zentrum für Standort- und Regionalentwicklung GmbH,MAIN,Bernhard Ölz,https://www.prisma-zentrum.com/,3,https://www.prisma-zentrum.com/ | https://www.prisma-zentrum.com/kontakt | https://www.prisma-zentrum.com/impressum,+43557222122 | +43557222122200 | +436648538943 | +43512390296 | +43676840110222,prisma@prisma-zentrum.com,yes
39,Unibail-Rodamco Austria Verwaltungs GmbH,MAIN,Jakub Skwarlo; Paul Douay,,0,,,,yes
40,be real Immobilienmanagement GmbH,MAIN,Lukas Eybel,http://www.bereal-immobilien.at/,12,https://www.bereal-immobilien.at/ | https://www.bereal-immobilien.at/team | https://www.bereal-immobilien.at/ueber-uns | https://www.bereal-immobilien.at/%C3%BCber-uns | https://www.bereal-immobilien.at/management | https://www.bereal-immobilien.at/geschaeftsfuehrung | https://www.bereal-immobilien.at/gesch%C3%A4ftsf%C3%BChrung | https://www.bereal-immobilien.at/kontakt | https://www.bereal-immobilien.at/contact | https://www.bereal-immobilien.at/impressum | https://www.bereal-immobilien.at/presse | https://www.bereal-immobilien.at/downloads,+4315353619 | +4315356428,office@bereal-immobilien.at | office@bereal-makler.at | t.keinrath@bereal-immobilien.at,yes
