no,company,person,owners,central_phone,central_email,websites,wko_url
2,DP World Logistics Austria GmbH,Rolf Mertins,Imperial Mobility International B.V.,,,,https://firmen.wko.at/dp-world-logistics-austria-gmbh/ober%c3%b6sterreich/?firmaid=e8f23dbe-87db-43d2-bc22-15e4dae72d95&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
6,DHL Express (Austria) GmbH,Kris David van Humbeeck,Deutsche Post Beteiligungen Holding GmbH,+43820550505,dhlat@dhl.com,https://mydhl.express.dhl/,https://firmen.wko.at/dhl-express-austria-gmbh-dhl-express-austria-gmbh-k%c3%a4rnten/k%c3%a4rnten/?firmaid=bfefb7af-200c-408f-9a70-c6ec6392ab0f&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
8,G. Englmayer Spedition GmbH,Andreas Gaber,WIESINGER Privatstiftung,+43 5 777 30,office@englmayer.at,http://www.englmayer.at/,https://firmen.wko.at/genglmayer-spedition-gmbh/nieder%c3%b6sterreich/?firmaid=d2d861dc-6515-42ba-8efd-603bf370c58c&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
10,Kühne + Nagel Gesellschaft m.b.H.,Franz Braunsberger,Kühne + Nagel Eastern Europe AG; Kühne + Nagel Management AG,+43 (0) 5 906 828 - 0,info.austria@kuehne-nagel.com,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/,https://firmen.wko.at/k%c3%bchne-nagel-gesellschaft-mbh/k%c3%a4rnten/?firmaid=fa8a8110-7c4f-4422-a816-2fd2a3efd81b&standortid=6&standortname=k%c3%a4rnten%20%28bundesland%29&suchbegriff=spediteur
11,Quick Service Logistics GmbH,Nina Meyer,Meyer Quick Service Logistics Verwaltungs GmbH,,,,https://firmen.wko.at/quick-service-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=15b122aa-0f61-49c9-b1a1-24fe6d9daf7b&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
13,Sovereign Speed Austria GmbH,Leo Then,Sovereign Speed Germany GmbH,+43 2236 864 930,office.at@sovereignspeed.com,http://www.sovereignspeed.com/,https://firmen.wko.at/sovereign-speed-austria-gmbh/nieder%c3%b6sterreich/?firmaid=70a0eb56-24fa-41dd-9e75-bba94c39807f&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
14,Nothegger Transport Logistik GmbH,Karl Nothegger,Karl Nothegger; Nothegger Holding GmbH,+43 5353 600-0,office@nothegger.at,http://www.nothegger.at/,https://firmen.wko.at/nothegger-transport-logistik-gmbh/ober%c3%b6sterreich/?firmaid=dd94b639-ac8d-4a19-937a-635cd3640abc&standortid=3&standortname=ober%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
15,All Fresh Logistics GmbH,Reinhold Diess,Reinhold Diess,+43 2262 62228,office@allfresh.at,,https://firmen.wko.at/all-fresh-logistics-gmbh/nieder%c3%b6sterreich/?firmaid=632acebd-08e2-42d8-b9e4-d4e7f24e42c9&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
16,Berger Logistik GmbH,Tobias Ibrahim,Berger Transport GmbH; Red Bull GmbH,+43 5332 7020,office@berger-logistik.at,,https://firmen.wko.at/berger-logistik-gmbh/tirol/?firmaid=55ce58a3-4f17-4b38-ab18-525848eb4df8&standortid=7&standortname=tirol%20%28bundesland%29&suchbegriff=spediteur
18,DACHSER-Austria Gesellschaft m.b.H.,Alfred Koblmüller,DACHSER SE,+43 5 9000 0,info.austria@dachser.com,,https://firmen.wko.at/dachser-austria-gesellschaft-mbh/nieder%c3%b6sterreich/?firmaid=46d7c424-40ed-4e24-83ed-46c1e4b27e41&standortid=2&standortname=nieder%c3%b6sterreich%20%28bundesland%29&suchbegriff=spediteur
