no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Thomas Baumgartner,Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,,UNRESOLVED,,,,,
98,Lagermax Lagerhaus und Speditions Aktiengesellschaft,Alexander Friesz,Baumgartner Privatstiftung; Urs Meister; Alexander Friesz; Michou Friesz; Anja Rabitsch; Ingrid Friesz-Meraner; others,,E_CENTRAL_FALLBACK,,,low,https://www.lagermax.com/de-at/karriere/duale-akademie,official_candidate_needs_external_validation
99,Augustin Quehenberger Group GmbH,Klaus Hrazdira,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
99,Augustin Quehenberger Group GmbH,Robert Hartmann,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
99,Augustin Quehenberger Group GmbH,Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
100,LOG-IN Logistik GmbH,Klaus Hrazdira,CF Logistics GmbH,,UNRESOLVED,,,,,
101,Quehenberger Air + Ocean GmbH,Rodolphe Schoettel,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
101,Quehenberger Air + Ocean GmbH,Klaus Hrazdira,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
101,Quehenberger Air + Ocean GmbH,Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
102,Quehenberger Logistics GmbH,Christian Fürstaller,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
