no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
10,Kühne + Nagel Gesellschaft m.b.H.,Franz Braunsberger,Kühne + Nagel Eastern Europe AG; Kühne + Nagel Management AG,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/,UNRESOLVED,,,,,
10,Kühne + Nagel Gesellschaft m.b.H.,Martin Hafner,Kühne + Nagel Eastern Europe AG; Kühne + Nagel Management AG,http://www.kuehne-nagel.at/ | http://www.kuehne-nagel.com/,UNRESOLVED,,,,,
11,Quick Service Logistics GmbH,Markus Bappert,Meyer Quick Service Logistics Verwaltungs GmbH,,UNRESOLVED,,,,,
11,Quick Service Logistics GmbH,Nina Meyer,Meyer Quick Service Logistics Verwaltungs GmbH,,UNRESOLVED,,,,,
11,Quick Service Logistics GmbH,Florian Entrich,Meyer Quick Service Logistics Verwaltungs GmbH,,UNRESOLVED,,,,,
12,Raben Logistics Austria GmbH,Wojciech Mialik,Raben Group N.V.,,UNRESOLVED,,,,,
13,Sovereign Speed Austria GmbH,Leo Then,Sovereign Speed Germany GmbH,http://www.sovereignspeed.com/,UNRESOLVED,,,,,
14,Nothegger Transport Logistik GmbH,Karl Nothegger,Karl Nothegger; Nothegger Holding GmbH,http://www.nothegger.at/,UNRESOLVED,,,,,
15,All Fresh Logistics GmbH,Reinhold Diess,Reinhold Diess,,UNRESOLVED,,,,,
16,Berger Logistik GmbH,Tobias Ibrahim,Berger Transport GmbH; Red Bull GmbH,,UNRESOLVED,,,,,
