no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
70,Hapag-Lloyd (Austria) GmbH,Marc-Simon Vick,Hapag-Lloyd AG,,UNRESOLVED,,,,,
71,Hellmann Worldwide Logistics GmbH,Piotr Zaleski,Hellmann Worldwide Logistics Limited,,UNRESOLVED,,,,,
71,Hellmann Worldwide Logistics GmbH,Parthasarathy Rangachari,Hellmann Worldwide Logistics Limited,,UNRESOLVED,,,,,
71,Hellmann Worldwide Logistics GmbH,Rainer Mittl,Hellmann Worldwide Logistics Limited,,UNRESOLVED,,,,,
72,Hermes Logistik GmbH & Co KG,Patryk Hopenthaler,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,,UNRESOLVED,,,,,
72,Hermes Logistik GmbH & Co KG,Philip Weiskopf,Hermes Zweite Beteiligungs-Verwaltungsgesellschaft mbH,,UNRESOLVED,,,,,
73,Hofmann & Neffe GmbH,Peter Hofmann,Hofmann Immobilien und Logistik GmbH,,UNRESOLVED,,,,,
73,Hofmann & Neffe GmbH,Michael Hofmann,Hofmann Immobilien und Logistik GmbH,,UNRESOLVED,,,,,
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Axel Remplewski,Hoyer GmbH Internationale Fachspedition,,UNRESOLVED,,,,,
74,Hoyer Austria Internationale Fachspedition Gesellschaft m.b.H.,Gedeon Tabanyi,Hoyer GmbH Internationale Fachspedition,,UNRESOLVED,,,,,
