no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
102,Quehenberger Logistics GmbH,Rodolphe Schoettel,AUGUSTIN QUEHENBERGER GROUP GMBH,,UNRESOLVED,,,,,
103,Deufol Austria GmbH,Johannes Rieder,Deufol Austria Management GmbH,,UNRESOLVED,,,,,
103,Deufol Austria GmbH,Jürgen Hillen,Deufol Austria Management GmbH,,UNRESOLVED,,,,,
104,Hillebrand Gori Austria GmbH,Mehmet Kalkan,Hillebrand Gori Group GmbH,,UNRESOLVED,,,,,
104,Hillebrand Gori Austria GmbH,Søren Nymann,Hillebrand Gori Group GmbH,,UNRESOLVED,,,,,
105,Hödlmayr High & Heavy GmbH,Helmut Zwirner,Hödlmayr International GmbH,,UNRESOLVED,,,,,
105,Hödlmayr High & Heavy GmbH,Markus Formann,Hödlmayr International GmbH,,UNRESOLVED,,,,,
105,Hödlmayr High & Heavy GmbH,Michael Wöckinger,Hödlmayr International GmbH,,UNRESOLVED,,,,,
105,Hödlmayr High & Heavy GmbH,Martin Steinkellner,Hödlmayr International GmbH,,UNRESOLVED,,,,,
106,TEK TRANSPORT s.r.o.,Martin Anthony Bittner,European Cargo Services S.A.,,UNRESOLVED,,,,,
