no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
66,CEVA Air & Ocean Austria GmbH,Jörg Peter,CEVA Air & Ocean Austria GmbH,,UNRESOLVED,,,,,
66,CEVA Air & Ocean Austria GmbH,Vincent Malhaire,CEVA Air & Ocean Austria GmbH,,UNRESOLVED,,,,,
67,Ceva Logistics Austria GmbH,Norbert Baumann,Normeston Group Cyprus Limited,,UNRESOLVED,,,,,
67,Ceva Logistics Austria GmbH,Roman Vašš,Normeston Group Cyprus Limited,,UNRESOLVED,,,,,
68,DHL Freight - DHL Logistics (Austria) GmbH,Michael Rolle,Deutsche Post Beteiligungen Holding GmbH,,UNRESOLVED,,,,,
68,DHL Freight - DHL Logistics (Austria) GmbH,Katrin Hölter,Deutsche Post Beteiligungen Holding GmbH,,UNRESOLVED,,,,,
69,Hadolt Transport und Logistik GmbH,Katharina Hadolt,Katharina Hadolt,,UNRESOLVED,,,,,
69,Hadolt Transport und Logistik GmbH,Rolf Hadolt,Katharina Hadolt,,UNRESOLVED,,,,,
69,Hadolt Transport und Logistik GmbH,Felix Hadolt,Katharina Hadolt,,UNRESOLVED,,,,,
70,Hapag-Lloyd (Austria) GmbH,Mark Biro,Hapag-Lloyd AG,,UNRESOLVED,,,,,
