no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
55,SWIETELSKY Baugesellschaft m.b.H.,Matthias Schauer,Swietelsky AG,,UNRESOLVED,,,,,
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Adolf Winkelmeier,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,,UNRESOLVED,,,,,
56,Speditionsservice Ranshofen Gesellschaftm.b.H.,Rüdiger Pressler,M.Preymesser Beteiligungs GmbH; AMAG service GmbH,,UNRESOLVED,,,,,
57,Tirolia Spedition Ges.m.b.H.,Michael Lukasser,Tirolia Holding GmbH; Michael Lukasser direct,,UNRESOLVED,,,,,
58,TRA Logistik GmbH,Rupert Trawöger,TRA Holding GmbH,,UNRESOLVED,,,,,
58,TRA Logistik GmbH,Artur Hovhannisyan,TRA Holding GmbH,,UNRESOLVED,,,,,
59,UNITCARGO Speditionsges.m.b.H.,Davor Sertic,Davor Sertic,,E_CENTRAL_FALLBACK,,sales@unitcargo.at,low,https://unitcargo.at/impressum/,official_candidate_needs_external_validation
60,W. Riedel Silo-Transportgesellschaft m.b.H.,Christian Soos,SR-Silotransport GmbH; Immo Immobilientreuhand; Manfred Adam,,UNRESOLVED,,,,,
60,W. Riedel Silo-Transportgesellschaft m.b.H.,Robert Mausser,SR-Silotransport GmbH; Immo Immobilientreuhand; Manfred Adam,,UNRESOLVED,,,,,
60,W. Riedel Silo-Transportgesellschaft m.b.H.,Alexander Waldmüller,SR-Silotransport GmbH; Immo Immobilientreuhand; Manfred Adam,,UNRESOLVED,,,,,
