no,company,person,owners,websites,baseline_status,best_phone,best_email,confidence,source_url,reason
16,Berger Logistik GmbH,Matthias Synal,Berger Transport GmbH; Red Bull GmbH,,UNRESOLVED,,,,,
17,cargo-partner GmbH,Martin Schenzel,Cargo-Partner Holdings GmbH,http://www.cargo-partner.com/,UNRESOLVED,,,,,
18,DACHSER-Austria Gesellschaft m.b.H.,Alfred Koblmüller,DACHSER SE,,UNRESOLVED,,,,,
18,DACHSER-Austria Gesellschaft m.b.H.,Michael Rauhofer,DACHSER SE,,UNRESOLVED,,,,,
19,DHL Global Forwarding (Austria) GmbH,Christoph Wahl,DHL Global Forwarding International Holdings B.V.,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html,UNRESOLVED,,,,,
19,DHL Global Forwarding (Austria) GmbH,Thomas Ziegler,DHL Global Forwarding International Holdings B.V.,http://www.dhl-freight.at/ | http://www.dhl.at/ | http://www.logistics.dhl/at-de | https://www.dhl.com/at-de/home/fracht.html,UNRESOLVED,,,,,
20,Dipl. Kfm. Günther König Transportgesellschaft m.b.H.,Katharina König,Ownership not resolved in free public sources,,UNRESOLVED,,,,,
21,FedEx Express Austria GmbH,Stefan Dries,FedEx Express International B.V.,,UNRESOLVED,,,,,
21,FedEx Express Austria GmbH,Sven Kische,FedEx Express International B.V.,,UNRESOLVED,,,,,
21,FedEx Express Austria GmbH,Charlotte Laureyssens,FedEx Express International B.V.,,UNRESOLVED,,,,,
