no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
1,Bundesimmobiliengesellschaft m.b.H.,MAIN,Gerald Beck; Christine Dornaus,http://www.big.at/,3,https://www.big.at/ | https://www.big.at/ueber-uns | https://www.big.at/impressum,+43620269 | +431062026 | +436052026 | +43502440 | +43502442211,,yes
2,GWS Bau- und Verwaltungsgesellschaft m.b.H.,MAIN,Martina Haas; Thomas Purgstaller,http://www.gws-exklusiv.at/,4,https://www.gws-wohnen.at/?exclusive=1 | https://www.gws-wohnen.at/ | https://www.gws-wohnen.at/gws/zahlen-fakten-daten/ | https://www.gws-wohnen.at/kontakt,+433168054 | +438062026 | +433062026 | +43316811609,wohnungsverkauf@gws-wohnen.at | technik@gws-wohnen.at | objektmanagement@gws-wohnen.at | rechnungswesen@gws-wohnen.at,yes
3,Kaiserer Immobilien und Hausverwaltungs GmbH,MAIN,Stefan Kaiserer; Alfred Thaler,http://www.kaiserer.at/,4,https://www.kaiserer.at/ | https://www.kaiserer.at/team | https://www.kaiserer.at/kontakt | https://www.kaiserer.at/impressum,+43533793937 | +436502000385 | +436502000379 | +436763624857 | +436763978313,office@kaiserer.at,yes
4,PÜHRINGER Hausverwaltung & Immobilien GmbH & Co KG,MAIN,Doris Pühringer,,0,,,,yes
5,VIVIR Holding GmbH,MAIN,Stefan Salinger,http://www.vivir-holding.at/,4,https://vivir-holding.at/ | https://vivir-holding.at/team/ | https://vivir-holding.at/kontakt/ | https://vivir-holding.at/impressum/,+43501325000 | +4369917702176 | +43501325099,office@vivir-holding.at,yes
6,BUWOG - Bauen und Wohnen Gesellschaft mbH,MAIN,Martin Puckl; Andreas Holler,http://www.buwog.at/,4,https://www.buwog.at/ | https://www.buwog.at/impressum | https://www.buwog.at/presse | https://www.buwog.at/content/download/254737/file/Verhaltenskodex%20gem%C3%A4%C3%9F%20%C2%A7%207%20LobbyG%20%28BUWOG%20Group%20GmbH%29.pdf,+431878281000 | +43664609281711 | +439072026 | +431062026 | +43705202675,kundenmanagement@buwog.com,yes
7,Hammerl Immobilien Management GmbH,MAIN,Birgitt Hammerl,http://hammerl.at/,4,https://www.hammerl.at/ | https://www.hammerl.at/team | https://www.hammerl.at/kontakt | https://www.hammerl.at/impressum,+4312783364 | +431278336499 | +431278336442,office@hammerl.at | verwaltung@hammerl.at | buchhaltung@hammerl.at | bewerbung@hammerl.at,yes
8,KALA Immobilienmanagement GmbH,MAIN,Karin Seyr; Manuela Steinkellner,,0,,,,yes
9,Raiffeisen Realitäten Betreuung Tirol GmbH,MAIN,Philipp Thomasberger; Bernhard Matt; Stefan Ruggenthaler,,0,,,,yes
10,WAG Wohnungsanlagen Gesellschaft m.b.H.,MAIN,Jürgen Harich; Markus Hinterplattner; Markus Kehrer,http://www.wag.at/,13,https://www.wag.at/ | https://www.wag.at/team/ | https://www.wag.at/ueber-uns/ | https://www.wag.at/%C3%BCber-uns/ | https://www.wag.at/management/ | https://www.wag.at/geschaeftsfuehrung/ | https://www.wag.at/gesch%C3%A4ftsf%C3%BChrung/ | https://www.wag.at/wohnservice | https://www.wag.at/contact/ | https://www.wag.at/impressum | https://www.wag.at/presse/ | https://www.wag.at/downloads/ | https://www.wag.at/fileadmin/user_upload/Fotos_WAG/Rund_um_die_WAG/Dokumente/Folder_WAG_Wohnungsverbesserung.pdf,+43503380 | +4373294242490 | +4314064343,,yes
