no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
41,GRAWE Immo AG,MAIN,Kristijan Agatic; Manfred Stranz; Stefan Höhn,http://www.gwimmo.at/,0,,,,yes
42,International Campus Austria GmbH,MAIN,Gerhard Hrabik; Wolfgang Quirchmayr,,0,,,,yes
43,Porsche Immobilien Gesellschaft m.b.H.,MAIN,Wilhelm Felix Strigl; Christian Häupl,,0,,,,yes
44,Ulreich VerwaltungsGmbH,MAIN,Hans Jörg Ulreich,,0,,,,yes
45,ÖBB-Immobilienmanagement Gesellschaft mbH,MAIN,Erich Pirkl; Claudia Brey,,0,,,,yes
46,Alpen Real Immobilien GmbH,MAIN,Thomas Kletzmayr,,0,,,,yes
47,Dr. Peter Dirnbacher Immobilientreuhand GmbH & Co KG,MAIN,Saeed Akhondi; Barbara Zimmeter-Haidvogel,,0,,,,yes
48,Immobilienkanzlei Mag. Wolf-Dietrich Schneeweiss e.U.,MAIN,Wolf-Dietrich Schneeweiss,,0,,,,yes
49,McArthurGlen Management Gesellschaft m.b.H.,MAIN,Mario Schwann,,0,,,,yes
50,SERIA Immobilien & Treuhand GmbH,MAIN,Ulrike Fabian,http://www.seria.at/,5,https://seria.at/ | https://seria.at/team/ | https://seria.at/ueber-uns/ | https://seria.at/kontakt/ | https://seria.at/impressum/,+43316811066 | +4331681106617 | +4331681106611 | +4331681106627 | +4331681106623,office@seria.at | fabian@seria.at | boehler@seria.at | krajinovic@seria.at | egghardt@seria.at,yes
