no,company_name,stage3_scope,primary_dm,website,checked_source_count,checked_source_urls,fallback_phones,fallback_emails,machine_research_complete
21,Supernova Invest GmbH,MAIN,Markus Pinggera; Petra Michelatsch,,0,,,,yes
22,Zurich Immobilien Liegenschaftsverwaltungs-GesmbH,MAIN,Petra Fröstl; Maximilian Knoblechner,,0,,,,yes
23,AI Immobilienverwertung GmbH.,MAIN,Eva Baumann; Michael Bujatti,http://www.apk.at/aiig,11,https://www.apk.at/aiig | https://www.apk.at/team | https://www.apk.at/ueber-uns | https://www.apk.at/%C3%BCber-uns | https://www.apk.at/management | https://www.apk.at/geschaeftsfuehrung | https://www.apk.at/gesch%C3%A4ftsf%C3%BChrung | https://www.apk.at/kontakt | https://www.apk.at/contact | https://www.apk.at/presse | https://www.apk.at/downloads,,,yes
24,Dr. Martin Schober Immobilienverwaltung GmbH,MAIN,Martin Schober,,0,,,,yes
25,Immobilien Verwaltung Klagenfurt GmbH,MAIN,Gerhard Scheucher,https://www.klagenfurt-wohnen.at/,6,https://www.klagenfurt-wohnen.at/ | https://www.klagenfurt-wohnen.at/kontakt | https://www.klagenfurt-wohnen.at/impressum | https://www.klagenfurt-wohnen.at/downloads | https://www.klagenfurt-wohnen.at/fileadmin/user_upload/Klagenfurt_Wohnen/02_Services/Downloads/WB_Aushang_Information_Netz.pdf | https://www.klagenfurt-wohnen.at/fileadmin/klagenfurt-wohnen/Formulare/WB_Formular_Kuendigung_Geschaeftslokalmietvertrag.pdf,+434635373320 | +434635373325 | +434635373316 | +434635373307 | +434635373332,,yes
26,"Ludwig Hallas, Immobilienverwaltung Gesellschaft m.b.H.",MAIN,Alexander Schlechta; Martin Fischer,http://www.hallas.at/,2,https://www.hallas.at/ | https://www.hallas.at/impressum/,+431521380 | +43152138 | +4368184407054 | +4315213830 | +431082020,office@hallas.at,yes
27,Salzburg Wohnbau GmbH,MAIN,Georg Grundbichler; Thomas Maierhofer,http://www.salzburg-wohnbau.at/,5,https://www.salzburg-wohnbau.at/ | https://www.salzburg-wohnbau.at/team/ | https://www.salzburg-wohnbau.at/impressum/ | https://www.salzburg-wohnbau.at/pressegespraech-2020/ | https://www.salzburg-wohnbau.at/downloads/,+4366220660 | +436622066900,office@salzburg-wohnbau.at,yes
28,WEVIG Wohnungseigentumsverwaltungs- und Immobilientreuhand-Gesellschaft m.b.H.,MAIN,Robert Zier; Bernhard Raffelsberger,https://wevig.at/,8,https://www.wevig.at/ | https://www.wevig.at/team/ | https://www.wevig.at/impressum/ | https://www.wevig.at/downloads/ | https://www.wevig.at/wp-content/uploads/2023/01/SEPA-Einzugsermaechtigung_neu.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Vollmacht-fuer-Hausversammlung.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Aenderung_Versandadresse.pdf | https://www.wevig.at/wp-content/uploads/2023/01/Antrag-Schluesselbestaetigung.pdf,+4314860608 | +43725272221 | +432742351716 | +43273282749 | +431486060820 | +431486060841 | +431486060825,office@wevig.at,yes
29,Apleona Real Estate AT GmbH,MAIN,Julia Rahner; Michael Bucher,https://www.realestate.apleona.at/,0,,,,yes
30,Dr.Gerlich + Co.Hausverwaltung & Facility Management GmbH,MAIN,Peter Genser,,0,,,,yes
